venue_name,city,state_code,capacity,capacity_type,source_url,notes
The Nick,Birmingham,AL,250,approx,https://www.indieonthemove.com/venues/the-nick-birmingham-alabama,legendary dive club
Crescent Ballroom,Phoenix,AZ,500,stated,https://www.crescentphx.com/ufaqs/q-what-is-the-capacity-at-crescent-ballroom/,main ballroom ~500; adjacent lounge ~300
The Van Buren,Phoenix,AZ,1800,stated,https://en.wikipedia.org/wiki/The_Van_Buren,opened 2017
Valley Bar,Phoenix,AZ,250,stated,https://www.valleybarphx.com/ufaqs/what-is-the-capacity-at-valley-bar/,Music Hall ~250; full venue (all rooms) 480 per venue FAQ
1 Paseo de San Antonio,San Jose,CA,,unknown,,Address/plaza listing; no fixed capacity
1015 Folsom,San Francisco,CA,1500,approx,https://en.wikipedia.org/wiki/1015_Folsom,Total across 5 rooms; sources cite 1350-1500; Main Room alone 600
21795 Jennet Trail,San Francisco,CA,,unknown,,Address-only (likely private property); no findable capacity
375 11th St,San Francisco,CA,800,approx,https://en.wikipedia.org/wiki/DNA_Lounge,Street address of DNA Lounge; main room 800 (all rooms ~1100)
3rd & Army,San Francisco,CA,,unknown,,Outdoor DIY skate spot on Islais Creek used for raves; no fixed capacity
529 N Stockton St,San Francisco,CA,,unknown,,Address-only listing; no findable capacity
620 Jones,San Francisco,CA,1500,stated,https://www.eventective.com/san-francisco-ca/620-jones-502315.html,8000 sqft patio + 4800 sqft interior
705 Lounge,San Francisco,CA,,unknown,,No findable capacity
7th West,Oakland,CA,600,stated,https://www.7thwest.com/venue-bookings,600 standing / 300 seated; indoor + outdoor at 1255 7th St
926 2nd St,San Francisco,CA,,unknown,,Address-only listing; no findable capacity
9Lives,San Jose,CA,350,stated,https://www.sanjose.com/9lives-club-b38700672,4500 sqft venue; some listings place it in Gilroy
Ace Of Spades,Sacramento,CA,1000,stated,https://www.sacramentolive.org/information/,GA standing 1000 / seated 400
Apcal,San Francisco,CA,,unknown,,No findable capacity
Aracely Cafe,San Francisco,CA,300,approx,https://www.thebash.com/profiles/aracely-cafe,Treasure Island; sources cite 250-300
Arcana,San Francisco,CA,100,stated,https://thevendry.com/venue/176445/arcana-san-francisco-san-francisco-ca/space/72031,Duplicate of Arcana SF
Arcana SF,San Francisco,CA,100,stated,https://thevendry.com/venue/176445/arcana-san-francisco-san-francisco-ca/space/72031,Standing 100 (one source 70); wine bar/venue at 2512 Mission
Arena Green East,San Jose,CA,,unknown,,Outdoor park space; no fixed capacity
Arlene Francis Center,Santa Rosa,CA,,unknown,,8000 sqft community center; no published capacity
Asiento,San Francisco,CA,,unknown,,Mission bar; no findable capacity
Audio,San Francisco,CA,400,stated,http://blog.audiosf.com/about-our-sanfrancisco-nightclub/,Upstairs club 400; sister venue Bergerac downstairs 250
August Hall,San Francisco,CA,950,approx,https://en.wikipedia.org/wiki/August_Hall,Sources cite 950-1000 standing (951 music hall); 350 seated
Aura Night Club,San Jose,CA,,unknown,,Duplicate of Aura Nightclub; no published capacity
Aura Nightclub,San Jose,CA,,unknown,,398 S 1st St San Jose; no published capacity
Bar Part Time,San Francisco,CA,,unknown,,Small wine/DJ bar; no published capacity
Bella,San Francisco,CA,,unknown,,No findable capacity
Belly Up,Solana Beach,CA,600,stated,https://www.cvent.com/venues/en-US/solana-beach/entertainment-venue/belly-up-tavern/venue-dd06e16d-fdec-4bf1-878e-2649c2cc2b3b,600 standing / 100 seated; same venue as 'Belly Up Tavern' row
Belly Up Tavern,Solana Beach,CA,600,stated,https://www.cvent.com/venues/en-US/solana-beach/entertainment-venue/belly-up-tavern/venue-dd06e16d-fdec-4bf1-878e-2649c2cc2b3b,same venue as 'Belly Up' row; 600 standing / 100 seated
Bill Graham Civic Auditorium,San Francisco,CA,8500,stated,https://en.wikipedia.org/wiki/Bill_Graham_Civic_Auditorium,
Bimbo's 365 Club,San Francisco,CA,685,stated,https://thevendry.com/venue/119723/bimbos-365-club-san-francisco-ca/space/3543,Theater-style 685; dinner seating 475
Blanco Urban,San Jose,CA,400,stated,https://blancourbanvenue.com/our-spaces,Full venue; Great Room 300 cocktail; rooftop 160
Blue Note Los Angeles,Los Angeles,CA,200,stated,https://www.bluenotejazz.com/la/about/,main showroom; B-Side second room holds 100
Brick & Mortar Music Hall,San Francisco,CA,250,stated,https://www.indieonthemove.com/venues/brick-and-mortar-music-hall-san-francisco-california,1710 Mission St
Brick and Mortar Music Hall,San Francisco,CA,250,approx,https://feverup.com/en/san-francisco/venue/brick-mortar-music-hall,250 cited; some sources ~300
Butter,San Francisco,CA,,unknown,,SOMA bar at 354 11th St; no published capacity
Buzzworks,San Francisco,CA,,unknown,,SOMA bar; no findable capacity
Cafe Du Nord,San Francisco,CA,330,stated,https://cafedunord.com/venue-info/,Some sources cite 320
California Theatre,San Jose,CA,1122,stated,https://sanjosetheaters.org/california/,Seats: 687 orchestra + 196 grand tier + 239 mezzanine
